dataset,classifier,partition_ratio,trial,train_acc,val_acc,test_acc,best_params,time_elapsed
mushroom,random_forest,20_80,456,1.0,0.9993846153846153,0.9989230769230769,"{""max_depth"": 10, ""min_samples_split"": 10, ""n_estimators"": 50}",2.704902172088623
mushroom,random_forest,50_50,42,1.0,1.0,1.0,"{""max_depth"": 10, ""min_samples_split"": 2, ""n_estimators"": 100}",3.2634098529815674
mushroom,random_forest,50_50,123,1.0,1.0,1.0,"{""max_depth"": 10, ""min_samples_split"": 2, ""n_estimators"": 50}",3.375706195831299
mushroom,random_forest,50_50,456,1.0,1.0,1.0,"{""max_depth"": 10, ""min_samples_split"": 2, ""n_estimators"": 50}",3.4693500995635986
mushroom,random_forest,80_20,42,1.0,1.0,1.0,"{""max_depth"": 10, ""min_samples_split"": 2, ""n_estimators"": 50}",4.6498260498046875
mushroom,random_forest,80_20,123,1.0,1.0,1.0,"{""max_depth"": 10, ""min_samples_split"": 2, ""n_estimators"": 50}",4.288894891738892
mushroom,random_forest,80_20,456,1.0,1.0,1.0,"{""max_depth"": 10, ""min_samples_split"": 2, ""n_estimators"": 50}",4.050779104232788
mushroom,svm,20_80,42,1.0,0.9993838570548368,0.9987692307692307,"{""C"": 1, ""kernel"": ""linear""}",1.1858229637145996
mushroom,svm,20_80,123,1.0,0.99815157116451,1.0,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",1.3708622455596924
mushroom,svm,20_80,456,1.0,0.9993849938499385,1.0,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""rbf""}",1.3910598754882812
mushroom,svm,50_50,42,1.0,0.9992614475627769,1.0,"{""C"": 1, ""kernel"": ""linear""}",5.067933797836304
mushroom,svm,50_50,123,1.0,0.9992614475627769,1.0,"{""C"": 1, ""kernel"": ""linear""}",5.007357835769653
mushroom,svm,50_50,456,0.9992614475627769,0.9990152634170361,0.999015263417036,"{""C"": 0.1, ""kernel"": ""linear""}",4.95772910118103
mushroom,svm,80_20,42,1.0,1.0,1.0,"{""C"": 1}",0.07708430290222168
mushroom,svm,80_20,123,1.0,1.0,1.0,"{""C"": 1}",0.08437800407409668
mushroom,svm,80_20,456,1.0,0.9993333333333334,1.0,"{""C"": 1}",0.08034682273864746
mushroom,knn,20_80,42,1.0,0.9987692307692309,0.9989230769230769,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.22152400016784668
mushroom,knn,20_80,123,1.0,0.9987692307692309,1.0,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.21940922737121582
mushroom,knn,20_80,456,0.999384236453202,0.9993846153846153,0.9993846153846154,"{""n_neighbors"": 3, ""weights"": ""uniform""}",0.22780919075012207
mushroom,knn,50_50,42,1.0,1.0,1.0,"{""n_neighbors"": 3, ""weights"": ""uniform""}",0.35286927223205566
mushroom,knn,50_50,123,1.0,0.9997536945812808,1.0,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.34316205978393555
mushroom,knn,50_50,456,1.0,0.9995073891625615,1.0,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.36126112937927246
mushroom,knn,80_20,42,1.0,0.9998461538461537,1.0,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.5440030097961426
mushroom,knn,80_20,123,1.0,1.0,1.0,"{""n_neighbors"": 3, ""weights"": ""uniform""}",0.5534639358520508
mushroom,knn,80_20,456,1.0,1.0,1.0,"{""n_neighbors"": 3, ""weights"": ""uniform""}",0.8603720664978027
